"sample_id","condition","replicate","broad_celltype","n_cells","prop_within_sample"
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"Astrocyte",279,0.0418228151701394
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"Endothelial",33,0.00494678459001649
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"Oligodendrocyte",1211,0.181532004197272
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"Neuron",4132,0.619397391695398
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"Pericyte_VSMC",10,0.00149902563333833
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"OPC",161,0.0241343126967471
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"Microglia",244,0.0365762254534553
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"Fibroblast_Stromal",601,0.0900914405636336
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"Astrocyte",535,0.0691929643041904
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"Endothelial",33,0.00426797723745473
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"Fibroblast_Stromal",728,0.0941541645111226
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"Microglia",272,0.0351784790481117
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"Neuron",4691,0.606699430936368
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"Oligodendrocyte",1201,0.15532850491464
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"Pericyte_VSMC",26,0.00336264873254009
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"OPC",246,0.0318158303155716
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"Neuron",3717,0.597876789448287
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"Astrocyte",291,0.0468071417082194
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"Oligodendrocyte",1048,0.168570049863278
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"Microglia",245,0.0394080746340679
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"Fibroblast_Stromal",702,0.112916197522921
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"OPC",156,0.0250924883384269
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"Endothelial",36,0.00579057423194467
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"Pericyte_VSMC",22,0.00353868425285507
"Trem2_KO1","Trem2_KO",1,"Astrocyte",256,0.0390422449290834
"Trem2_KO1","Trem2_KO",1,"Neuron",4090,0.623760866249809
"Trem2_KO1","Trem2_KO",1,"Pericyte_VSMC",13,0.00198261400030502
"Trem2_KO1","Trem2_KO",1,"OPC",183,0.0279091047735245
"Trem2_KO1","Trem2_KO",1,"Oligodendrocyte",1124,0.171419856641757
"Trem2_KO1","Trem2_KO",1,"Microglia",222,0.0338569467744395
"Trem2_KO1","Trem2_KO",1,"Fibroblast_Stromal",639,0.0974531035534543
"Trem2_KO1","Trem2_KO",1,"Endothelial",30,0.00457526307762696
"Trem2_KO2","Trem2_KO",2,"Astrocyte",566,0.0708740295517155
"Trem2_KO2","Trem2_KO",2,"Endothelial",30,0.00375657400450789
"Trem2_KO2","Trem2_KO",2,"Fibroblast_Stromal",760,0.0951665414475332
"Trem2_KO2","Trem2_KO",2,"Pericyte_VSMC",26,0.0032556974705735
"Trem2_KO2","Trem2_KO",2,"OPC",230,0.0288004007012271
"Trem2_KO2","Trem2_KO",2,"Microglia",297,0.0371900826446281
"Trem2_KO2","Trem2_KO",2,"Neuron",4771,0.597420485850238
"Trem2_KO2","Trem2_KO",2,"Oligodendrocyte",1306,0.163536188329577
"Trem2_KO3","Trem2_KO",3,"Microglia",268,0.0337149326959366
"Trem2_KO3","Trem2_KO",3,"Fibroblast_Stromal",749,0.0942256887658825
"Trem2_KO3","Trem2_KO",3,"Neuron",4682,0.589004906277519
"Trem2_KO3","Trem2_KO",3,"Oligodendrocyte",1257,0.158133098502956
"Trem2_KO3","Trem2_KO",3,"Endothelial",35,0.00440306956849918
"Trem2_KO3","Trem2_KO",3,"Astrocyte",670,0.0842873317398415
"Trem2_KO3","Trem2_KO",3,"OPC",266,0.0334633287205938
"Trem2_KO3","Trem2_KO",3,"Pericyte_VSMC",22,0.00276764372877091
"WT_5XFAD1","WT_5XFAD",1,"Astrocyte",140,0.0209675003744196
"WT_5XFAD1","WT_5XFAD",1,"Endothelial",12,0.0017972143178074
"WT_5XFAD1","WT_5XFAD",1,"Pericyte_VSMC",9,0.00134791073835555
"WT_5XFAD1","WT_5XFAD",1,"OPC",147,0.0220158753931406
"WT_5XFAD1","WT_5XFAD",1,"Fibroblast_Stromal",633,0.0948030552643403
"WT_5XFAD1","WT_5XFAD",1,"Microglia",486,0.0727871798711996
"WT_5XFAD1","WT_5XFAD",1,"Oligodendrocyte",1128,0.168938145873895
"WT_5XFAD1","WT_5XFAD",1,"Neuron",4122,0.617343118166841
"WT_5XFAD2","WT_5XFAD",2,"Fibroblast_Stromal",404,0.10303494006631
"WT_5XFAD2","WT_5XFAD",2,"Microglia",247,0.0629941341494517
"WT_5XFAD2","WT_5XFAD",2,"Neuron",2427,0.618974751338944
"WT_5XFAD2","WT_5XFAD",2,"Endothelial",16,0.00408059168579444
"WT_5XFAD2","WT_5XFAD",2,"Astrocyte",140,0.0357051772507014
"WT_5XFAD2","WT_5XFAD",2,"Oligodendrocyte",578,0.147411374649324
"WT_5XFAD2","WT_5XFAD",2,"OPC",106,0.0270339199183882
"WT_5XFAD2","WT_5XFAD",2,"Pericyte_VSMC",3,0.000765110941086458
"WT_5XFAD3","WT_5XFAD",3,"OPC",245,0.0323389651531151
"WT_5XFAD3","WT_5XFAD",3,"Oligodendrocyte",1237,0.163278775079197
"WT_5XFAD3","WT_5XFAD",3,"Neuron",4301,0.567713833157339
"WT_5XFAD3","WT_5XFAD",3,"Fibroblast_Stromal",657,0.0867212249208025
"WT_5XFAD3","WT_5XFAD",3,"Endothelial",39,0.00514783526927138
"WT_5XFAD3","WT_5XFAD",3,"Astrocyte",355,0.0468585005279831
"WT_5XFAD3","WT_5XFAD",3,"Microglia",711,0.0938489968321014
"WT_5XFAD3","WT_5XFAD",3,"Pericyte_VSMC",31,0.00409186906019007
"WT1","WT",1,"Astrocyte",696,0.0708829819737244
"WT1","WT",1,"OPC",299,0.0304511661065282
"WT1","WT",1,"Endothelial",37,0.00376820450147673
"WT1","WT",1,"Oligodendrocyte",1504,0.153172420816784
"WT1","WT",1,"Neuron",5962,0.607190141562277
"WT1","WT",1,"Fibroblast_Stromal",950,0.0967511966595376
"WT1","WT",1,"Pericyte_VSMC",19,0.00193502393319075
"WT1","WT",1,"Microglia",352,0.0358488644464813
"WT2","WT",2,"Endothelial",28,0.00417723407429509
"WT2","WT",2,"Astrocyte",367,0.0547516037595107
"WT2","WT",2,"Fibroblast_Stromal",620,0.0924958973593913
"WT2","WT",2,"Microglia",217,0.032373564075787
"WT2","WT",2,"Neuron",4110,0.61315828733403
"WT2","WT",2,"Oligodendrocyte",1136,0.169476353871401
"WT2","WT",2,"OPC",211,0.031478442488438
"WT2","WT",2,"Pericyte_VSMC",14,0.00208861703714755
"WT3","WT",3,"Oligodendrocyte",1348,0.172820512820513
"WT3","WT",3,"Neuron",4765,0.610897435897436
"WT3","WT",3,"Endothelial",19,0.00243589743589744
"WT3","WT",3,"Astrocyte",356,0.0456410256410256
"WT3","WT",3,"Microglia",232,0.0297435897435897
"WT3","WT",3,"Fibroblast_Stromal",836,0.107179487179487
"WT3","WT",3,"OPC",230,0.0294871794871795
"WT3","WT",3,"Pericyte_VSMC",14,0.00179487179487179
