"","Astrocyte","Endothelial","Fibroblast_Stromal","Microglia","Neuron","Oligodendrocyte","OPC","Pericyte_VSMC"
"Trem2_KO_5XFAD1",279,33,601,244,4132,1211,161,10
"Trem2_KO_5XFAD2",535,33,728,272,4691,1201,246,26
"Trem2_KO_5XFAD3",291,36,702,245,3717,1048,156,22
"Trem2_KO1",256,30,639,222,4090,1124,183,13
"Trem2_KO2",566,30,760,297,4771,1306,230,26
"Trem2_KO3",670,35,749,268,4682,1257,266,22
"WT_5XFAD1",140,12,633,486,4122,1128,147,9
"WT_5XFAD2",140,16,404,247,2427,578,106,3
"WT_5XFAD3",355,39,657,711,4301,1237,245,31
"WT1",696,37,950,352,5962,1504,299,19
"WT2",367,28,620,217,4110,1136,211,14
"WT3",356,19,836,232,4765,1348,230,14
