"sample_id","condition","replicate","cluster_id","n_cells","prop_within_sample"
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"22",57,0.00854444611002848
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"13",201,0.0301304152301004
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"16",99,0.0148403537700495
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"25",33,0.00494678459001649
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"17",47,0.00704542047669015
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"23",72,0.010792984560036
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"4",433,0.0649078099235497
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"11",298,0.0446709638734822
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"14",161,0.0241343126967471
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"1",536,0.0803477739469345
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"0",1174,0.17598560935392
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"19",65,0.00974366661669915
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"18",87,0.0130415230100435
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"27",10,0.00149902563333833
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"26",18,0.00269824614000899
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"7",383,0.057412681756858
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"15",147,0.0220356768100735
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"24",51,0.00764503073002548
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"5",442,0.0662569329935542
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"2",539,0.080797481636936
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"29",9,0.0013491230700045
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"10",312,0.0467695997601559
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"20",67,0.0100434717433668
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"8",214,0.0320791485534403
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"3",509,0.076300404736921
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"28",19,0.00284814870334283
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"9",244,0.0365762254534553
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"30",2,0.000299805126667666
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"6",379,0.0568130715035227
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"21",63,0.00944386149003148
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"16",135,0.0174599068804966
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"25",33,0.00426797723745473
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"13",216,0.0279358510087946
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"11",323,0.0417744438696327
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"17",242,0.0312984997413347
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"26",20,0.00258665287118469
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"7",396,0.0512157268494568
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"15",148,0.0191412312467667
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"14",246,0.0318158303155716
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"23",44,0.00569063631660631
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"22",63,0.00814795654423176
