"","0","1","10","11","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","4","5","6","7","8","9"
"Trem2_KO_5XFAD1",1174,536,312,298,201,161,147,99,47,87,65,539,67,63,57,72,51,33,18,10,19,9,509,2,433,442,379,383,214,244
"Trem2_KO_5XFAD2",1170,591,316,323,216,246,148,135,242,101,137,568,102,85,63,44,25,33,20,26,11,7,547,3,531,475,452,396,447,272
"Trem2_KO_5XFAD3",1018,602,200,177,207,156,143,96,20,52,100,512,76,38,60,19,35,36,16,22,14,2,566,1,503,425,390,234,252,245
"Trem2_KO1",1091,598,303,316,202,183,147,89,13,65,41,507,76,43,72,53,26,30,23,13,10,12,513,1,460,410,373,453,212,222
"Trem2_KO2",1264,698,312,282,270,230,152,112,57,112,62,598,98,69,78,42,50,30,32,26,10,10,626,3,582,525,430,435,494,297
"Trem2_KO3",1224,649,442,345,229,266,190,105,31,73,100,616,69,100,61,52,40,35,20,22,13,10,535,5,512,461,464,447,565,268
"WT_5XFAD1",1091,584,366,280,200,147,137,104,34,87,49,509,71,23,58,51,33,12,15,9,22,11,509,2,464,429,408,371,115,486
"WT_5XFAD2",555,382,72,100,126,106,97,53,206,54,22,366,65,12,40,10,13,16,12,3,11,1,329,0,352,174,249,120,128,247
"WT_5XFAD3",1192,543,349,251,250,245,153,108,47,68,114,545,95,68,53,50,47,39,20,31,25,8,508,2,530,412,433,394,285,711
"WT1",1452,797,207,387,287,299,203,127,262,147,153,797,110,124,87,67,46,37,40,19,12,13,756,7,712,668,549,537,565,352
"WT2",1095,534,310,302,214,211,121,113,49,94,86,477,67,83,53,77,32,28,22,14,19,8,475,5,476,447,379,416,279,217
"WT3",1320,755,449,355,212,230,131,126,71,106,81,533,76,78,74,44,63,19,15,14,13,19,606,1,486,537,408,469,277,232
