"sample_id","condition","replicate","gsm","trem2_status","ad_status"
"Trem2_KO_5XFAD1","Trem2_KO_5XFAD",1,"GSM4173513","KO","5XFAD"
"Trem2_KO_5XFAD2","Trem2_KO_5XFAD",2,"GSM4173514","KO","5XFAD"
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"GSM4173515","KO","5XFAD"
"Trem2_KO1","Trem2_KO",1,"GSM4173507","KO","non_5XFAD"
"Trem2_KO2","Trem2_KO",2,"GSM4173508","KO","non_5XFAD"
"Trem2_KO3","Trem2_KO",3,"GSM4173509","KO","non_5XFAD"
"WT_5XFAD1","WT_5XFAD",1,"GSM4173510","WT","5XFAD"
"WT_5XFAD2","WT_5XFAD",2,"GSM4173511","WT","5XFAD"
"WT_5XFAD3","WT_5XFAD",3,"GSM4173512","WT","5XFAD"
"WT1","WT",1,"GSM4173504","WT","non_5XFAD"
"WT2","WT",2,"GSM4173505","WT","non_5XFAD"
"WT3","WT",3,"GSM4173506","WT","non_5XFAD"
